Method,MatrixSize,BlockSize,Duration,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_TOT_CYC,PAPI_TOT_INS
1,600,0,0.194519,244526955,39879262,874940883,1518177175
1,600,0,0.192347,244552859,40953366,866946723,1518173947
1,600,0,0.192555,244544909,39172762,867334994,1518173940
1,1000,0,1.14024,1223971734,241349354,5201476625,7017064189
1,1000,0,1.15651,1222275939,258087664,5248098725,7017064853
1,1000,0,1.156,1222300610,251138702,5258855734,7017064834
1,1400,0,3.38168,3416714791,1042459699,15540638018,19241397724
1,1400,0,3.46402,3532343919,1135282115,15979151718,19241398366
1,1400,0,3.63605,3532331282,1520631731,16701177492,19241398408
1,1800,0,17.7502,9091488244,6549832002,82590095513,40879178426
1,1800,0,17.8762,9061674679,7561652482,83202685884,40879179101
1,1800,0,17.7749,9061725391,7258539516,82675557475,40879179086
1,2200,0,38.912,17621083224,21502381767,1.75925E+11,74618400302
1,2200,0,38.4103,17622227392,21850560389,1.76683E+11,74618400158
1,2200,0,38.3499,17622398650,21874155073,1.77532E+11,74618400194
1,2600,0,68.6243,30882436246,50924738852,3.20354E+11,1.23147E+11
1,2600,0,68.2235,30882397634,50464513424,3.1838E+11,1.23147E+11
1,2600,0,68.1561,30882515410,50245651449,3.1801E+11,1.23147E+11
1,3000,0,114.507,50304846588,96065178075,5.33285E+11,1.89153E+11
1,3000,0,114.076,50305090748,95659814029,5.3239E+11,1.89153E+11
1,3000,0,113.887,50305255559,95319332172,5.31445E+11,1.89153E+11
2,600,0,0.100531,27124566,56935069,459612413,1733095091
2,600,0,0.100829,27230924,57289839,458344257,1733092516
2,600,0,0.099417,27234257,57298769,456958441,1733092440
2,1000,0,0.471385,125846853,261898008,2192016252,8014064404
2,1000,0,0.471551,126063119,262211601,2191595985,8014060362
2,1000,0,0.471793,126065476,262495569,2188135312,8014060348
2,1400,0,1.52302,346453177,676502944,7042108165,21979514528
2,1400,0,1.49988,346791930,680658386,7005887922,21979508601
2,1400,0,1.50103,346793714,681410212,7012212511,21979508578
2,1800,0,3.36443,745820468,1437056257,15662021131,46701446606
2,1800,0,3.35209,745317919,1443288520,15621777304,46701458225
2,1800,0,3.3396,745315072,1442180241,15621171218,46701458247
2,2200,0,6.18426,2075407614,2551147938,28823132946,85251875669
2,2200,0,6.17292,2075582844,2555990412,28836933979,85251875688
2,2200,0,6.19923,2075463464,2552538778,28912368212,85251875671
2,2600,0,10.2966,4413868195,4165196443,48065425358,1.40703E+11
2,2600,0,10.2997,4413833386,4155053400,48064225289,1.40703E+11
2,2600,0,11.0419,4413767370,4125968765,51093507738,1.40703E+11
2,3000,0,15.8717,6781959503,6328509456,74025206564,2.16126E+11
2,3000,0,15.849,6781953300,6332904268,74016480588,2.16126E+11
2,3000,0,15.8614,6781955220,6323470336,74062343427,2.16126E+11
2,4096,0,40.5619,17536506337,15958000079,1.8947E+11,5.49991E+11
2,4096,0,40.6235,17537458623,15948858585,1.89674E+11,5.49991E+11
2,4096,0,40.5493,17534372727,15929967106,1.8942E+11,5.49991E+11
2,6144,0,137.334,59120970890,53420467903,6.41355E+11,1.85595E+12
2,6144,0,137.484,59123305112,53464110168,6.41298E+11,1.85595E+12
2,6144,0,137.34,59123757037,53456085140,6.41567E+11,1.85595E+12
2,8192,0,331.039,1.40039E+11,1.26718E+11,1.5351E+12,4.39899E+12
2,8192,0,337.688,1.40038E+11,1.26881E+11,1.55805E+12,4.39899E+12
2,8192,0,326.514,1.40021E+11,1.26756E+11,1.52473E+12,4.39899E+12
2,10240,0,638.857,2.73375E+11,2.49769E+11,2.9819E+12,8.5914E+12
2,10240,0,639.418,2.73373E+11,2.49912E+11,2.98502E+12,8.5914E+12
2,10240,0,638.45,2.73373E+11,2.50135E+11,2.9801E+12,8.5914E+12
3,4096,128,38.4738,9726433912,33229508140,1.78545E+11,5.54224E+11
3,6144,128,129.239,32839851492,1.11066E+11,5.93954E+11,1.87035E+12
3,8192,128,297.844,77892015611,2.65602E+11,1.38118E+12,4.43325E+12
3,10240,128,606.69,1.51929E+11,5.20349E+11,2.81333E+12,8.65848E+12
3,4096,256,34.3165,9091236618,23552322638,1.59203E+11,5.52047E+11
3,6144,256,117.17,30675218824,78231846977,5.43653E+11,1.86301E+12
3,8192,256,384.395,72953908287,1.6209E+11,1.79417E+12,4.41584E+12
3,10240,256,562.695,1.42026E+11,3.60606E+11,2.60891E+12,8.62448E+12
3,4096,512,37.0345,8763818903,19616981180,1.71811E+11,5.50966E+11
3,6144,512,109.972,29622872428,67676227407,5.1026E+11,1.85936E+12
3,8192,512,335.355,70202773304,1.43013E+11,1.55372E+12,4.40719E+12
3,10240,512,524.557,1.36959E+11,3.11344E+11,2.43088E+12,8.60759E+12
3,4096,1024,39.3887,8805565961,18537297642,1.82414E+11,5.50428E+11
3,6144,1024,131.15,29779834403,63874560994,6.08051E+11,1.85754E+12
3,8192,1024,331.793,70594580617,1.40385E+11,1.54923E+12,4.40288E+12
3,10240,1024,610.937,1.3792E+11,2.90267E+11,2.85153E+12,8.59917E+12
